time,open,high,low,close
2021-08-06,1055,1060,1055,1060
2021-08-09,1325,1325,1110,1110
2021-08-10,1130,1160,1035,1035
2021-08-12,965,1000,965,965
2021-08-13,940,1035,910,955
2021-08-16,960,965,890,890
2021-08-18,845,890,830,830
2021-08-19,815,900,775,895
2021-08-20,895,915,845,865
2021-08-23,865,920,865,910
2021-08-24,915,930,895,910
2021-08-25,910,920,900,905
2021-08-26,905,910,860,870
2021-08-27,870,890,845,875
2021-08-30,880,900,875,895
2021-08-31,900,955,885,945
2021-09-01,945,975,890,890
2021-09-02,910,920,870,880
2021-09-03,885,900,880,895
2021-09-06,900,905,885,900
2021-09-07,900,900,875,875
2021-09-08,885,885,840,845
2021-09-09,840,860,800,815
2021-09-10,815,850,815,845
2021-09-13,845,850,825,845
2021-09-14,845,855,840,855
2021-09-15,855,870,840,870
2021-09-16,870,875,855,855
2021-09-17,865,865,845,860
2021-09-20,860,865,840,845
2021-09-21,840,855,825,850
2021-09-22,840,855,840,850
2021-09-23,875,900,860,885
2021-09-24,880,895,875,885
2021-09-27,885,885,870,870
2021-09-28,870,900,855,900
2021-09-29,875,880,850,850
2021-09-30,850,870,850,860
2021-10-01,860,860,835,850
2021-10-04,850,855,835,835
2021-10-05,835,835,815,820
2021-10-06,830,840,815,835
2021-10-07,840,840,825,825
2021-10-08,830,835,815,820
2021-10-11,820,825,780,785
2021-10-12,785,800,735,735
2021-10-13,730,730,685,695
2021-10-14,695,755,695,745
2021-10-15,755,760,715,730
2021-10-18,730,740,700,705
2021-10-19,715,715,680,690
2021-10-21,695,700,675,685
2021-10-22,685,695,670,675
2021-10-25,675,745,675,735
2021-10-26,735,735,690,695
2021-10-27,700,715,685,705
2021-10-28,705,710,685,695
2021-10-29,695,705,690,695
2021-11-01,695,700,675,680
2021-11-02,680,685,655,665
2021-11-03,670,695,670,695
2021-11-04,700,700,675,680
2021-11-05,690,690,660,665
2021-11-08,665,680,655,675
2021-11-09,675,715,670,705
2021-11-10,705,760,700,750
2021-11-11,750,750,725,740
2021-11-12,745,765,730,740
2021-11-15,740,750,715,730
2021-11-16,715,725,685,690
2021-11-17,695,710,685,710
2021-11-18,710,715,695,695
2021-11-19,695,720,695,715
2021-11-22,710,710,670,675
2021-11-23,680,685,665,670
2021-11-24,670,675,665,665
2021-11-25,665,670,620,620
2021-11-26,615,625,580,580
2021-11-29,580,600,550,570
2021-11-30,580,585,540,545
2021-12-01,540,550,510,510
2021-12-02,498,530,482,500
2021-12-03,490,505,488,490
2021-12-06,486,490,456,456
2021-12-07,432,456,426,444
2021-12-08,452,496,452,488
2021-12-09,490,510,474,500
2021-12-10,500,525,492,515
2021-12-13,515,525,496,505
2021-12-14,510,510,482,488
2021-12-15,488,490,454,458
2021-12-16,460,476,442,456
2021-12-17,456,466,444,466
2021-12-20,456,464,446,450
2021-12-21,450,456,442,452
2021-12-22,454,458,444,448
2021-12-23,454,466,444,444
2021-12-24,446,448,442,442
2021-12-27,442,450,434,446
2021-12-28,446,450,428,430
2021-12-29,432,464,408,452
2021-12-30,454,456,430,430
2022-01-03,430,436,420,424
2022-01-04,430,515,430,500
2022-01-05,505,510,468,470
2022-01-06,470,478,440,472
2022-01-07,478,484,464,472
2022-01-10,470,472,456,456
2022-01-11,456,474,446,448
2022-01-12,452,456,418,418
2022-01-13,420,426,396,408
2022-01-14,408,408,390,392
2022-01-17,394,406,366,366
2022-01-18,366,370,344,352
2022-01-19,354,376,344,370
2022-01-20,370,394,366,376
2022-01-21,376,378,362,368
2022-01-24,366,372,350,360
2022-01-25,358,368,338,338
2022-01-26,338,352,332,346
2022-01-27,344,344,322,322
2022-01-28,324,340,314,330
2022-01-31,336,362,332,356
2022-02-02,362,394,354,376
