time,open,high,low,close
2018-08-07,304.1875,304.1875,304.1875,304.1875
2018-08-08,379.75,379.75,379.75,379.75
2018-08-09,474.6875,474.6875,474.6875,474.6875
2018-08-10,590.9375,590.9375,590.9375,590.9375
2018-08-13,736.25,736.25,736.25,736.25
2018-08-14,920.3125,920.3125,775,905.78125
2018-08-16,905.78125,1109.21875,905.78125,1065.625
2018-08-20,1114.0625,1317.5,1094.6875,1317.5
2018-08-21,1346.5625,1540.3125,1327.1875,1496.71875
2018-09-13,1414.375,1496.71875,1143.125,1191.5625
2018-09-14,1240,1302.96875,1230.3125,1298.125
2018-09-17,1307.8125,1322.34375,1143.125,1167.34375
2018-09-18,1123.75,1167.34375,992.96875,1075.3125
2018-09-19,1080.15625,1167.34375,1075.3125,1133.4375
2018-09-20,1152.8125,1152.8125,1089.84375,1099.53125
2018-09-21,1099.53125,1278.75,1012.34375,1244.84375
2018-09-24,1244.84375,1302.96875,1235.15625,1235.15625
2018-09-25,1235.15625,1235.15625,1162.5,1186.71875
2018-09-26,1186.71875,1186.71875,1109.21875,1133.4375
2018-09-27,1172.1875,1210.9375,1109.21875,1118.90625
2018-09-28,1157.65625,1157.65625,1109.21875,1118.90625
2018-10-01,1123.75,1133.4375,1065.625,1065.625
2018-10-02,1085,1099.53125,1026.875,1051.09375
2018-10-03,1051.09375,1060.78125,1017.1875,1017.1875
2018-10-04,1002.65625,1051.09375,988.125,1002.65625
2018-10-05,1002.65625,1002.65625,968.75,988.125
2018-10-08,988.125,1104.375,775,1065.625
2018-10-09,1065.625,1186.71875,1065.625,1143.125
2018-10-10,1157.65625,1210.9375,1157.65625,1177.03125
2018-10-11,1143.125,1191.5625,1143.125,1162.5
2018-10-12,1162.5,1162.5,1138.28125,1138.28125
2018-10-15,1138.28125,1181.875,1138.28125,1152.8125
2018-10-16,1152.8125,1235.15625,1152.8125,1157.65625
2018-10-17,1201.25,1210.9375,1191.5625,1196.40625
2018-10-18,1201.25,1230.3125,1191.5625,1191.5625
2018-10-19,1191.5625,1201.25,1167.34375,1167.34375
2018-10-22,1162.5,1196.40625,1162.5,1172.1875
2018-10-23,1196.40625,1196.40625,1152.8125,1157.65625
2018-10-24,1157.65625,1167.34375,1152.8125,1152.8125
2018-10-25,1133.4375,1162.5,1133.4375,1147.96875
2018-10-26,1143.125,1157.65625,1138.28125,1138.28125
2018-10-29,1138.28125,1138.28125,1017.1875,1055.9375
2018-10-30,1051.09375,1051.09375,963.90625,978.4375
2018-10-31,968.75,1012.34375,930,978.4375
2018-11-01,983.28125,988.125,959.0625,968.75
2018-11-02,968.75,997.8125,963.90625,973.59375
2018-11-05,988.125,1094.6875,968.75,1007.5
2018-11-06,1012.34375,1055.9375,1007.5,1031.71875
2018-11-07,1031.71875,1031.71875,988.125,1002.65625
2018-11-08,1002.65625,1026.875,988.125,997.8125
2018-11-09,1017.1875,1017.1875,968.75,983.28125
2018-11-12,983.28125,983.28125,959.0625,968.75
2018-11-13,968.75,997.8125,959.0625,959.0625
2018-11-14,959.0625,968.75,925.15625,925.15625
2018-11-15,930,949.375,900.9375,905.78125
2018-11-16,905.78125,968.75,833.125,896.09375
2018-11-19,896.09375,954.21875,871.875,891.25
2018-11-21,920.3125,920.3125,818.59375,818.59375
2018-11-22,818.59375,823.4375,745.9375,813.75
2018-11-23,813.75,867.03125,813.75,833.125
2018-11-26,837.96875,842.8125,789.53125,794.375
2018-11-27,818.59375,823.4375,770.15625,775
2018-11-28,775,775,712.03125,726.5625
2018-11-29,721.71875,721.71875,653.90625,653.90625
2018-11-30,653.90625,658.75,566.71875,590.9375
2018-12-03,590.9375,736.25,542.5,736.25
2018-12-04,736.25,920.3125,736.25,920.3125
2018-12-05,925.15625,1089.84375,833.125,871.875
2018-12-06,871.875,871.875,775,813.75
2018-12-07,813.75,828.28125,755.625,789.53125
2018-12-10,789.53125,789.53125,726.5625,741.09375
2018-12-11,741.09375,813.75,702.34375,731.40625
2018-12-12,731.40625,775,721.71875,726.5625
2018-12-13,726.5625,799.21875,726.5625,760.46875
2018-12-14,760.46875,779.84375,736.25,736.25
2018-12-17,765.3125,765.3125,721.71875,736.25
2018-12-18,736.25,779.84375,712.03125,755.625
2018-12-19,755.625,818.59375,673.28125,682.96875
2018-12-20,678.125,707.1875,668.4375,673.28125
2018-12-21,673.28125,692.65625,673.28125,678.125
2018-12-26,678.125,702.34375,663.59375,668.4375
2018-12-27,668.4375,726.5625,668.4375,668.4375
2018-12-28,668.4375,692.65625,653.90625,658.75
2019-01-02,692.65625,692.65625,653.90625,663.59375
2019-01-03,663.59375,682.96875,653.90625,663.59375
2019-01-04,668.4375,682.96875,663.59375,668.4375
2019-01-07,668.4375,745.9375,668.4375,712.03125
2019-01-08,712.03125,712.03125,673.28125,678.125
2019-01-09,726.5625,726.5625,678.125,687.8125
2019-01-10,721.71875,721.71875,663.59375,697.5
2019-01-11,716.875,716.875,678.125,702.34375
2019-01-14,707.1875,721.71875,687.8125,702.34375
2019-01-15,707.1875,750.78125,692.65625,716.875
2019-01-16,731.40625,741.09375,712.03125,726.5625
2019-01-17,726.5625,741.09375,716.875,716.875
2019-01-18,716.875,731.40625,712.03125,721.71875
2019-01-21,736.25,736.25,702.34375,712.03125
2019-01-22,712.03125,712.03125,673.28125,682.96875
2019-01-23,682.96875,697.5,673.28125,682.96875
2019-01-24,682.96875,697.5,678.125,682.96875
2019-01-25,682.96875,687.8125,673.28125,678.125
2019-01-28,673.28125,682.96875,663.59375,678.125
2019-01-29,673.28125,682.96875,663.59375,682.96875
2019-01-30,687.8125,687.8125,668.4375,682.96875
2019-01-31,673.28125,678.125,668.4375,673.28125
2019-02-01,673.28125,682.96875,668.4375,673.28125
2019-02-04,673.28125,823.4375,668.4375,804.0625
2019-02-06,804.0625,867.03125,775,784.6875
2019-02-07,784.6875,804.0625,755.625,765.3125
2019-02-08,765.3125,784.6875,750.78125,779.84375
2019-02-11,779.84375,799.21875,775,779.84375
2019-02-12,779.84375,784.6875,775,779.84375
2019-02-13,784.6875,842.8125,779.84375,784.6875
2019-02-14,789.53125,799.21875,770.15625,770.15625
2019-02-15,770.15625,779.84375,770.15625,775
2019-02-18,789.53125,789.53125,765.3125,770.15625
