time,open,high,low,close
2005-06-30,139.55939721,143.92062837,139.55939721,143.92062837
2005-07-01,139.55939721,139.55939721,139.55939721,139.55939721
2005-07-04,139.55939721,143.92062837,139.55939721,143.92062837
2005-07-05,139.55939721,143.92062837,139.55939721,143.92062837
2005-07-06,139.55939721,139.55939721,135.19816605,139.55939721
2005-07-07,135.19816605,139.55939721,135.19816605,139.55939721
2005-07-08,135.19816605,139.55939721,135.19816605,139.55939721
2005-07-11,139.55939721,139.55939721,135.19816605,135.19816605
2005-07-12,139.55939721,139.55939721,139.55939721,139.55939721
2005-07-13,135.19816605,139.55939721,135.19816605,139.55939721
2005-07-14,139.55939721,139.55939721,135.19816605,139.55939721
2005-07-15,139.55939721,139.55939721,135.19816605,135.19816605
2005-07-19,138.77957442,138.77957442,138.77957442,138.77957442
2005-07-20,138.77957442,138.77957442,138.77957442,138.77957442
2005-07-21,138.77957442,147.73309535,138.77957442,143.25633488
2005-07-22,147.73309535,152.20985581,143.25633488,152.20985581
2005-07-25,152.20985581,156.68661628,152.20985581,156.68661628
2005-07-26,156.68661628,156.68661628,152.20985581,152.20985581
2005-07-27,156.68661628,174.59365814,156.68661628,174.59365814
2005-07-28,174.59365814,183.54717907,174.59365814,183.54717907
2005-07-29,183.54717907,210.40774186,183.54717907,210.40774186
2005-08-01,205.9309814,205.9309814,174.59365814,179.0704186
2005-08-02,179.0704186,196.97746047,179.0704186,192.5007
2005-08-03,192.5007,196.97746047,183.54717907,183.54717907
2005-08-04,188.02393953,192.5007,183.54717907,183.54717907
2005-08-05,183.54717907,183.54717907,179.0704186,179.0704186
2005-08-08,179.0704186,183.54717907,174.59365814,179.0704186
2005-08-09,179.0704186,179.0704186,179.0704186,179.0704186
2005-08-10,183.54717907,201.45422093,183.54717907,192.5007
2005-08-11,196.97746047,201.45422093,192.5007,201.45422093
2005-08-12,201.45422093,201.45422093,192.5007,201.45422093
2005-08-15,196.97746047,196.97746047,183.54717907,188.02393953
2005-08-16,183.54717907,192.5007,183.54717907,183.54717907
2005-08-18,183.54717907,183.54717907,170.11689767,179.0704186
2005-08-19,174.59365814,174.59365814,165.64013721,174.59365814
2005-08-22,170.11689767,170.11689767,161.16337674,170.11689767
2005-08-23,161.16337674,165.64013721,156.68661628,161.16337674
2005-08-24,156.68661628,156.68661628,138.77957442,147.73309535
2005-08-25,138.77957442,165.64013721,138.77957442,165.64013721
2005-08-26,161.16337674,170.11689767,156.68661628,161.16337674
2005-08-29,152.20985581,152.20985581,134.30281395,147.73309535
2005-08-30,138.77957442,156.68661628,134.30281395,156.68661628
2005-08-31,152.20985581,152.20985581,143.25633488,152.20985581
2005-09-01,143.25633488,156.68661628,143.25633488,156.68661628
2005-09-05,156.68661628,161.16337674,152.20985581,156.68661628
2005-09-06,156.68661628,161.16337674,152.20985581,156.68661628
2005-09-07,161.16337674,165.64013721,156.68661628,165.64013721
2005-09-08,165.64013721,174.59365814,165.64013721,174.59365814
2005-09-09,170.11689767,174.59365814,165.64013721,170.11689767
2005-09-12,170.11689767,170.11689767,165.64013721,170.11689767
2005-09-13,165.64013721,170.11689767,165.64013721,170.11689767
2005-09-14,170.11689767,170.11689767,170.11689767,170.11689767
2005-09-15,170.11689767,174.59365814,170.11689767,174.59365814
2005-09-16,170.11689767,174.59365814,170.11689767,170.11689767
2005-09-19,170.11689767,174.59365814,170.11689767,170.11689767
2005-09-20,170.11689767,170.11689767,165.64013721,170.11689767
2005-09-22,152.20985581,152.20985581,143.25633488,143.25633488
2005-09-23,143.25633488,147.73309535,138.77957442,143.25633488
2005-09-26,143.25633488,147.73309535,143.25633488,147.73309535
2005-09-27,147.73309535,147.73309535,138.77957442,143.25633488
2005-09-28,143.25633488,143.25633488,138.77957442,143.25633488
2005-09-29,143.25633488,152.20985581,143.25633488,152.20985581
2005-09-30,156.68661628,156.68661628,156.68661628,156.68661628
2005-10-03,152.20985581,165.64013721,152.20985581,161.16337674
2005-10-04,161.16337674,165.64013721,147.73309535,147.73309535
2005-10-05,152.20985581,156.68661628,152.20985581,152.20985581
