time,open,high,low,close
2005-06-30,1874.16007967,1925.74246718,1874.16007967,1925.74246718
2005-07-04,1891.35420884,1891.35420884,1788.18943381,1805.38356299
2005-07-05,1805.38356299,1856.9659505,1788.18943381,1805.38356299
2005-07-06,1839.77182133,1839.77182133,1805.38356299,1822.57769216
2005-07-07,1822.57769216,1874.16007967,1788.18943381,1805.38356299
2005-07-08,1805.38356299,1839.77182133,1805.38356299,1822.57769216
2005-07-11,1839.77182133,1839.77182133,1822.57769216,1839.77182133
2005-07-12,1839.77182133,1874.16007967,1822.57769216,1874.16007967
2005-07-13,1891.35420884,2080.48962973,1891.35420884,2080.48962973
2005-07-14,2063.29550056,2097.6837589,2046.10137138,2080.48962973
2005-07-15,2097.6837589,2132.07201724,2046.10137138,2097.6837589
2005-07-18,2097.6837589,2114.87788807,2080.48962973,2097.6837589
2005-07-19,2097.6837589,2166.46027558,2097.6837589,2149.26614641
2005-07-21,2097.6837589,2114.87788807,2097.6837589,2114.87788807
2005-07-22,2097.6837589,2132.07201724,2097.6837589,2114.87788807
2005-07-25,2097.6837589,2166.46027558,2097.6837589,2149.26614641
2005-07-26,2149.26614641,2200.84853393,2149.26614641,2149.26614641
2005-07-27,2149.26614641,2166.46027558,2149.26614641,2149.26614641
2005-07-28,2166.46027558,2183.65440475,2132.07201724,2166.46027558
2005-07-29,2166.46027558,2166.46027558,2149.26614641,2166.46027558
2005-08-01,2166.46027558,2183.65440475,2132.07201724,2132.07201724
2005-08-02,2166.46027558,2304.01330895,2166.46027558,2286.81917978
2005-08-03,2286.81917978,2441.56634232,2286.81917978,2424.37221315
2005-08-04,2424.37221315,2493.14872984,2407.17808398,2407.17808398
2005-08-05,2407.17808398,2544.73111735,2407.17808398,2544.73111735
2005-08-08,2544.73111735,2596.31350487,2493.14872984,2493.14872984
2005-08-09,2493.14872984,2527.53698818,2458.76047149,2510.34285901
2005-08-10,2527.53698818,2527.53698818,2475.95460067,2475.95460067
2005-08-11,2475.95460067,2493.14872984,2441.56634232,2441.56634232
