time,open,high,low,close
1990-04-06,641.27001953,641.27001953,641.27001953,641.27001953
1990-04-09,633.47998047,633.47998047,633.47998047,633.47998047
1990-04-10,632.09002686,632.09002686,632.09002686,632.09002686
1990-04-11,634.69000244,634.69000244,634.69000244,634.69000244
1990-04-12,639.60998535,639.60998535,639.60998535,639.60998535
1990-04-16,640.01000977,640.01000977,640.01000977,640.01000977
1990-04-17,641.86999512,641.86999512,641.86999512,641.86999512
1990-04-18,640.5300293,640.5300293,640.5300293,640.5300293
1990-04-19,643.90997314,643.90997314,643.90997314,643.90997314
1990-04-20,641.69000244,641.69000244,641.69000244,641.69000244
1990-04-23,643.90997314,643.90997314,643.90997314,643.90997314
1990-04-24,638.79998779,638.79998779,638.79998779,638.79998779
1990-05-01,639.01000977,639.01000977,639.01000977,639.01000977
1990-05-02,636.15002441,636.15002441,636.15002441,636.15002441
1990-05-03,642.15997314,642.15997314,642.15997314,642.15997314
1990-05-04,643.09002686,643.09002686,643.09002686,643.09002686
1990-05-07,641.95001221,641.95001221,641.95001221,641.95001221
1990-05-08,642.97998047,642.97998047,642.97998047,642.97998047
1990-05-09,645.01000977,645.01000977,645.01000977,645.01000977
1990-05-11,643.30999756,643.30999756,643.30999756,643.30999756
1990-05-14,638.91998291,638.91998291,638.91998291,638.91998291
1990-05-15,640.85998535,640.85998535,640.85998535,640.85998535
1990-05-16,639.34002686,639.34002686,639.34002686,639.34002686
1990-05-17,644.44000244,644.44000244,644.44000244,644.44000244
1990-05-21,647.2199707,647.2199707,647.2199707,647.2199707
1990-05-22,647.40002441,647.40002441,647.40002441,647.40002441
1990-05-23,646.25,646.25,646.25,646.25
1990-05-25,647.35998535,647.35998535,647.35998535,647.35998535
1990-05-28,640.13000488,640.13000488,640.13000488,640.13000488
1990-05-29,641.14001465,641.14001465,641.14001465,641.14001465
1990-05-30,640.58001709,640.58001709,640.58001709,640.58001709
1990-05-31,636.40002441,636.40002441,636.40002441,636.40002441
1990-06-01,635.02001953,635.02001953,635.02001953,635.02001953
1990-06-04,636.23999023,636.23999023,636.23999023,636.23999023
1990-06-05,637.08001709,637.08001709,637.08001709,637.08001709
1990-06-06,636.64001465,636.64001465,636.64001465,636.64001465
1990-06-07,636,636,636,636
1990-06-08,636.05999756,636.05999756,636.05999756,636.05999756
1990-06-11,634.76000977,634.76000977,634.76000977,634.76000977
1990-06-12,634.41998291,634.41998291,634.41998291,634.41998291
1990-06-13,631.38000488,631.38000488,631.38000488,631.38000488
1990-06-14,630.29998779,630.29998779,630.29998779,630.29998779
1990-06-15,628.2800293,628.2800293,628.2800293,628.2800293
1990-06-18,626.90002441,626.90002441,626.90002441,626.90002441
1990-06-19,621.78997803,621.78997803,621.78997803,621.78997803
1990-06-20,622.42999268,622.42999268,622.42999268,622.42999268
1990-06-21,622.97998047,622.97998047,622.97998047,622.97998047
1990-06-22,623.95001221,623.95001221,623.95001221,623.95001221
1990-06-25,626.14001465,626.14001465,626.14001465,626.14001465
1990-06-26,623.76000977,623.76000977,623.76000977,623.76000977
1990-06-27,627.09997559,627.09997559,627.09997559,627.09997559
1990-06-28,626.76000977,626.76000977,626.76000977,626.76000977
1990-06-29,624.32000732,624.32000732,624.32000732,624.32000732
1990-07-02,629.44000244,629.44000244,629.44000244,629.44000244
1990-07-03,629.70001221,629.70001221,629.70001221,629.70001221
1990-07-04,629.71002197,629.71002197,629.71002197,629.71002197
1990-07-05,627.41998291,627.41998291,627.41998291,627.41998291
1990-07-06,626.80999756,626.80999756,626.80999756,626.80999756
1990-07-09,623.29998779,623.29998779,623.29998779,623.29998779
1990-07-10,624.59997559,624.59997559,624.59997559,624.59997559
1990-07-11,627.4699707,627.4699707,627.4699707,627.4699707
1990-07-12,627.9699707,627.9699707,627.9699707,627.9699707
1990-07-13,630.02001953,630.02001953,630.02001953,630.02001953
1990-07-16,630.72998047,630.72998047,630.72998047,630.72998047
1990-07-17,629.5300293,629.5300293,629.5300293,629.5300293
1990-07-18,631.16998291,631.16998291,631.16998291,631.16998291
1990-07-19,629.4699707,629.4699707,629.4699707,629.4699707
1990-07-20,630.09997559,630.09997559,630.09997559,630.09997559
1990-07-24,625.90997314,625.90997314,625.90997314,625.90997314
1990-07-25,627.96002197,627.96002197,627.96002197,627.96002197
1990-07-26,626,626,626,626
1990-07-27,624.09002686,624.09002686,624.09002686,624.09002686
1990-07-30,619.65997314,619.65997314,619.65997314,619.65997314
