time,open,high,low,close
2010-10-07,2307.06576761,2383.96795986,2191.71247923,2287.84021954
2010-10-08,2307.06576761,2307.06576761,2172.48693116,2191.71247923
2010-10-11,2153.2613831,2191.71247923,1999.45699859,2095.58473891
2010-10-12,2095.58473891,2210.93802729,2037.90809472,2134.03583504
2010-10-13,2114.81028697,2172.48693116,2114.81028697,2153.2613831
2010-10-14,2172.48693116,2191.71247923,2095.58473891,2134.03583504
2010-10-15,2134.03583504,2153.2613831,2095.58473891,2095.58473891
2010-10-18,2095.58473891,2114.81028697,2057.13364278,2095.58473891
2010-10-19,2095.58473891,2095.58473891,2037.90809472,2057.13364278
2010-10-20,2037.90809472,2076.35919085,2018.68254666,2076.35919085
2010-10-21,2076.35919085,2076.35919085,2057.13364278,2057.13364278
2010-10-22,2057.13364278,2057.13364278,1980.23145053,1999.45699859
2010-10-25,1980.23145053,2153.2613831,1980.23145053,2134.03583504
2010-10-26,2134.03583504,2172.48693116,2076.35919085,2114.81028697
2010-10-27,2114.81028697,2134.03583504,2076.35919085,2134.03583504
2010-10-28,2153.2613831,2230.16357535,2134.03583504,2210.93802729
2010-10-29,2172.48693116,2210.93802729,2172.48693116,2191.71247923
2010-11-01,2191.71247923,2210.93802729,2134.03583504,2134.03583504
2010-11-02,2134.03583504,2134.03583504,2057.13364278,2076.35919085
2010-11-03,2076.35919085,2076.35919085,2018.68254666,2037.90809472
2010-11-04,2037.90809472,2057.13364278,1999.45699859,2018.68254666
2010-11-05,2037.90809472,2037.90809472,1980.23145053,1999.45699859
2010-11-08,2018.68254666,2076.35919085,2018.68254666,2076.35919085
2010-11-09,2057.13364278,2057.13364278,1999.45699859,2018.68254666
2010-11-10,1999.45699859,2037.90809472,1999.45699859,2018.68254666
2010-11-11,2018.68254666,2018.68254666,1961.00590247,2018.68254666
2010-11-12,1999.45699859,2037.90809472,1922.55480634,1999.45699859
2010-11-15,1999.45699859,1999.45699859,1941.7803544,1980.23145053
2010-11-16,1980.23145053,2057.13364278,1961.00590247,2057.13364278
2010-11-18,2057.13364278,2057.13364278,1999.45699859,2037.90809472
2010-11-19,2037.90809472,2076.35919085,1999.45699859,2076.35919085
2010-11-22,2076.35919085,2076.35919085,2037.90809472,2057.13364278
2010-11-23,2037.90809472,2057.13364278,1980.23145053,1980.23145053
2010-11-24,1980.23145053,1999.45699859,1941.7803544,1961.00590247
2010-11-25,1941.7803544,1980.23145053,1941.7803544,1961.00590247
2010-11-26,1961.00590247,1999.45699859,1961.00590247,1999.45699859
2010-11-29,1980.23145053,1999.45699859,1961.00590247,1980.23145053
2010-11-30,1980.23145053,1999.45699859,1941.7803544,1961.00590247
2010-12-01,1961.00590247,1980.23145053,1941.7803544,1961.00590247
2010-12-02,1961.00590247,1999.45699859,1961.00590247,1980.23145053
2010-12-03,1980.23145053,1999.45699859,1922.55480634,1941.7803544
2010-12-06,1941.7803544,1961.00590247,1864.87816215,1874.49093618
2010-12-08,1874.49093618,1874.49093618,1807.20151796,1826.42706602
