time,open,high,low,close
2007-06-22,806.57606401,937.16456961,722.07761921,722.07761921
2007-06-25,722.07761921,737.44097281,699.03258881,714.39594241
2007-06-26,706.71426561,714.39594241,706.71426561,714.39594241
2007-06-27,706.71426561,714.39594241,699.03258881,714.39594241
2007-06-28,714.39594241,722.07761921,699.03258881,714.39594241
2007-06-29,706.71426561,745.12264961,706.71426561,745.12264961
2007-07-02,745.12264961,745.12264961,729.75929601,737.44097281
2007-07-03,737.44097281,737.44097281,714.39594241,722.07761921
2007-07-04,722.07761921,729.75929601,714.39594241,729.75929601
2007-07-05,722.07761921,729.75929601,722.07761921,729.75929601
2007-07-06,729.75929601,729.75929601,714.39594241,722.07761921
2007-07-09,722.07761921,737.44097281,722.07761921,729.75929601
2007-07-10,729.75929601,745.12264961,729.75929601,729.75929601
2007-07-11,729.75929601,745.12264961,729.75929601,737.44097281
2007-07-12,737.44097281,745.12264961,729.75929601,737.44097281
2007-07-13,737.44097281,737.44097281,729.75929601,737.44097281
2007-07-16,737.44097281,737.44097281,729.75929601,737.44097281
2007-07-17,729.75929601,737.44097281,729.75929601,737.44097281
2007-07-18,729.75929601,737.44097281,729.75929601,737.44097281
2007-07-19,729.75929601,745.12264961,729.75929601,745.12264961
2007-07-20,745.12264961,745.12264961,737.44097281,745.12264961
2007-07-23,745.12264961,775.84935681,745.12264961,768.16768001
2007-07-24,768.16768001,783.53103361,760.48600321,775.84935681
2007-07-25,775.84935681,791.21271041,768.16768001,791.21271041
2007-07-26,791.21271041,814.25774081,791.21271041,814.25774081
2007-07-27,775.84935681,806.57606401,768.16768001,791.21271041
2007-07-30,791.21271041,791.21271041,768.16768001,783.53103361
2007-07-31,791.21271041,791.21271041,783.53103361,791.21271041
2007-08-01,775.84935681,775.84935681,737.44097281,752.80432641
2007-08-02,752.80432641,768.16768001,737.44097281,760.48600321
2007-08-03,760.48600321,768.16768001,737.44097281,745.12264961
2007-08-06,722.07761921,722.07761921,683.66923521,714.39594241
2007-08-07,722.07761921,722.07761921,691.35091201,706.71426561
2007-08-08,706.71426561,729.75929601,706.71426561,729.75929601
2007-08-10,699.03258881,706.71426561,691.35091201,706.71426561
2007-08-13,706.71426561,714.39594241,699.03258881,714.39594241
2007-08-14,706.71426561,706.71426561,691.35091201,699.03258881
2007-08-15,683.66923521,691.35091201,629.89749761,652.94252801
2007-08-16,622.21582081,622.21582081,568.44408321,576.12576001
2007-08-20,622.21582081,637.57917441,614.53414401,637.57917441
2007-08-21,637.57917441,637.57917441,606.85246721,622.21582081
2007-08-22,622.21582081,629.89749761,614.53414401,629.89749761
2007-08-23,645.26085121,660.62420481,637.57917441,637.57917441
2007-08-24,629.89749761,637.57917441,629.89749761,637.57917441
2007-08-27,652.94252801,652.94252801,637.57917441,645.26085121
2007-08-28,637.57917441,645.26085121,629.89749761,637.57917441
2007-08-29,622.21582081,622.21582081,614.53414401,622.21582081
2007-08-30,622.21582081,637.57917441,622.21582081,637.57917441
2007-08-31,637.57917441,668.30588161,637.57917441,660.62420481
2007-09-03,660.62420481,706.71426561,660.62420481,691.35091201
2007-09-04,691.35091201,699.03258881,668.30588161,683.66923521
2007-09-05,691.35091201,691.35091201,668.30588161,675.98755841
2007-09-06,668.30588161,675.98755841,668.30588161,675.98755841
2007-09-07,668.30588161,675.98755841,668.30588161,675.98755841
2007-09-10,660.62420481,675.98755841,660.62420481,668.30588161
2007-09-11,668.30588161,675.98755841,660.62420481,675.98755841
