time,open,high,low,close
2005-06-30,1712.47068803,1723.30911011,1712.47068803,1723.30911011
2005-07-01,1712.47068803,1712.47068803,1690.79384388,1701.63226596
2005-07-04,1690.79384388,1690.79384388,1647.44015558,1669.11699973
2005-07-05,1669.11699973,1669.11699973,1658.27857765,1658.27857765
2005-07-06,1669.11699973,1690.79384388,1669.11699973,1679.9554218
2005-07-07,1679.9554218,1712.47068803,1679.9554218,1701.63226596
2005-07-08,1701.63226596,1755.82437634,1701.63226596,1755.82437634
2005-07-11,1755.82437634,1777.50122049,1744.98595426,1755.82437634
2005-07-12,1755.82437634,1766.66279841,1734.14753218,1744.98595426
2005-07-13,1734.14753218,1744.98595426,1734.14753218,1734.14753218
2005-07-14,1734.14753218,1744.98595426,1712.47068803,1712.47068803
2005-07-15,1723.30911011,1723.30911011,1712.47068803,1712.47068803
2005-07-18,1734.14753218,1734.14753218,1712.47068803,1712.47068803
2005-07-19,1723.30911011,1723.30911011,1712.47068803,1712.47068803
2005-07-20,1723.30911011,1755.82437634,1723.30911011,1755.82437634
2005-07-21,1766.66279841,1799.17806464,1755.82437634,1788.33964257
2005-07-22,1777.50122049,1810.01648672,1777.50122049,1777.50122049
2005-07-25,1777.50122049,1799.17806464,1755.82437634,1755.82437634
2005-07-26,1777.50122049,1799.17806464,1777.50122049,1799.17806464
2005-07-27,1788.33964257,1810.01648672,1777.50122049,1777.50122049
2005-07-28,1777.50122049,1777.50122049,1766.66279841,1777.50122049
2005-07-29,1777.50122049,1788.33964257,1777.50122049,1788.33964257
2005-08-01,1777.50122049,1799.17806464,1766.66279841,1788.33964257
2005-08-02,1788.33964257,1799.17806464,1788.33964257,1799.17806464
2005-08-03,1810.01648672,1831.69333087,1810.01648672,1820.85490879
2005-08-04,1820.85490879,1853.37017502,1810.01648672,1810.01648672
2005-08-05,1820.85490879,1831.69333087,1810.01648672,1831.69333087
2005-08-08,1820.85490879,1820.85490879,1810.01648672,1820.85490879
2005-08-09,1820.85490879,1831.69333087,1810.01648672,1820.85490879
2005-08-10,1820.85490879,1842.53175295,1820.85490879,1820.85490879
2005-08-11,1820.85490879,1831.69333087,1799.17806464,1799.17806464
2005-08-12,1788.33964257,1788.33964257,1755.82437634,1766.66279841
2005-08-15,1755.82437634,1766.66279841,1734.14753218,1734.14753218
2005-08-16,1734.14753218,1734.14753218,1712.47068803,1734.14753218
2005-08-18,1744.98595426,1744.98595426,1723.30911011,1723.30911011
2005-08-19,1701.63226596,1701.63226596,1647.44015558,1647.44015558
2005-08-22,1625.76331142,1647.44015558,1625.76331142,1636.6017335
2005-08-23,1647.44015558,1669.11699973,1636.6017335,1658.27857765
2005-08-24,1636.6017335,1679.9554218,1614.92488935,1669.11699973
2005-08-25,1669.11699973,1723.30911011,1669.11699973,1723.30911011
2005-08-26,1723.30911011,1723.30911011,1679.9554218,1679.9554218
2005-08-29,1679.9554218,1679.9554218,1582.40962312,1614.92488935
2005-08-30,1582.40962312,1723.30911011,1474.02540236,1712.47068803
2005-08-31,1712.47068803,1777.50122049,1712.47068803,1766.66279841
2005-09-01,1712.47068803,1734.14753218,1712.47068803,1723.30911011
2005-09-05,1712.47068803,1777.50122049,1712.47068803,1777.50122049
2005-09-06,1777.50122049,1853.37017502,1777.50122049,1853.37017502
2005-09-07,1853.37017502,1918.40070748,1842.53175295,1907.5622854
2005-09-08,1918.40070748,1940.07755163,1907.5622854,1918.40070748
2005-09-09,1918.40070748,1929.23912956,1907.5622854,1907.5622854
2005-09-12,1929.23912956,1940.07755163,1907.5622854,1929.23912956
2005-09-13,1853.37017502,1950.91597371,1853.37017502,1929.23912956
2005-09-14,1929.23912956,1929.23912956,1929.23912956,1929.23912956
2005-09-15,1929.23912956,1940.07755163,1929.23912956,1940.07755163
2005-09-16,1950.91597371,1994.26966201,1950.91597371,1983.43123994
2005-09-19,1983.43123994,2037.62335032,1983.43123994,2015.94650616
2005-09-20,2005.10808409,2015.94650616,1994.26966201,2005.10808409
2005-09-22,1983.43123994,2005.10808409,1983.43123994,2005.10808409
2005-09-23,2015.94650616,2037.62335032,2015.94650616,2015.94650616
2005-09-26,2015.94650616,2026.78492824,2015.94650616,2026.78492824
2005-09-27,2037.62335032,2146.00757108,2037.62335032,2146.00757108
2005-09-28,2167.68441523,2189.36125938,2124.33072693,2124.33072693
2005-09-29,2102.65388277,2146.00757108,2102.65388277,2146.00757108
2005-09-30,2146.00757108,2221.87652561,2146.00757108,2221.87652561
2005-10-03,2167.68441523,2276.06863599,2167.68441523,2232.71494769
2005-10-04,2254.39179184,2601.22129828,2254.39179184,2449.48338921
2005-10-05,2427.80654506,2471.16023336,2362.7760126,2406.12970091
2005-10-06,2384.45285675,2384.45285675,2341.09916845,2341.09916845
2005-10-07,2341.09916845,2492.83707752,2319.4223243,2449.48338921
2005-10-10,2341.09916845,2406.12970091,2341.09916845,2384.45285675
2005-10-11,2341.09916845,2362.7760126,2341.09916845,2362.7760126
2005-10-12,2362.7760126,2406.12970091,2341.09916845,2384.45285675
2005-10-13,2384.45285675,2427.80654506,2384.45285675,2384.45285675
2005-10-14,2406.12970091,2427.80654506,2384.45285675,2406.12970091
2005-10-17,2406.12970091,2427.80654506,2406.12970091,2406.12970091
2005-10-18,2406.12970091,2427.80654506,2384.45285675,2384.45285675
2005-10-19,2362.7760126,2471.16023336,2362.7760126,2449.48338921
2005-10-20,2449.48338921,2449.48338921,2384.45285675,2406.12970091
2005-10-21,2384.45285675,2384.45285675,2362.7760126,2384.45285675
