time,open,high,low,close
2005-06-30,266.80640231,266.80640231,264.02716895,266.80640231
2005-07-01,266.80640231,272.36486902,266.80640231,272.36486902
2005-07-04,269.58563567,269.58563567,266.80640231,269.58563567
2005-07-05,269.58563567,269.58563567,264.02716895,266.80640231
2005-07-07,266.80640231,269.58563567,264.02716895,269.58563567
2005-07-08,266.80640231,269.58563567,266.80640231,269.58563567
2005-07-11,269.58563567,269.58563567,269.58563567,269.58563567
2005-07-12,269.58563567,275.14410238,269.58563567,275.14410238
2005-07-13,275.14410238,275.14410238,272.36486902,275.14410238
2005-07-14,275.14410238,275.14410238,272.36486902,272.36486902
2005-07-15,272.36486902,272.36486902,269.58563567,272.36486902
2005-07-18,269.58563567,272.36486902,269.58563567,269.58563567
2005-07-19,269.58563567,272.36486902,269.58563567,272.36486902
2005-07-20,272.36486902,272.36486902,269.58563567,272.36486902
2005-07-21,269.58563567,269.58563567,269.58563567,269.58563567
2005-07-22,269.58563567,275.14410238,269.58563567,275.14410238
2005-07-25,272.36486902,275.14410238,269.58563567,275.14410238
2005-07-26,275.14410238,275.14410238,269.58563567,272.36486902
2005-07-27,269.58563567,269.58563567,266.80640231,269.58563567
2005-07-28,269.58563567,272.36486902,264.02716895,266.80640231
2005-07-29,266.80640231,269.58563567,266.80640231,269.58563567
2005-08-01,269.58563567,269.58563567,266.80640231,269.58563567
2005-08-02,269.58563567,269.58563567,266.80640231,269.58563567
2005-08-03,269.58563567,269.58563567,261.2479356,264.02716895
2005-08-04,264.02716895,264.02716895,255.68946888,258.46870224
2005-08-05,258.46870224,258.46870224,252.91023552,255.68946888
2005-08-08,255.68946888,258.46870224,252.91023552,255.68946888
2005-08-09,255.68946888,255.68946888,250.13100217,252.91023552
2005-08-10,255.68946888,264.02716895,255.68946888,264.02716895
2005-08-11,264.02716895,266.80640231,261.2479356,264.02716895
2005-08-12,264.02716895,264.02716895,258.46870224,261.2479356
2005-08-15,258.46870224,258.46870224,247.35176881,250.13100217
2005-08-16,250.13100217,252.91023552,247.35176881,250.13100217
2005-08-18,250.13100217,255.68946888,241.79330209,247.35176881
2005-08-19,244.57253545,244.57253545,233.45560202,239.01406874
2005-08-22,244.57253545,244.57253545,233.45560202,239.01406874
2005-08-23,239.01406874,239.01406874,230.67636866,233.45560202
2005-08-24,227.89713531,227.89713531,216.78020188,227.89713531
2005-08-25,227.89713531,244.57253545,225.11790195,244.57253545
2005-08-26,244.57253545,244.57253545,233.45560202,236.23483538
2005-08-29,227.89713531,227.89713531,214.00096852,219.55943523
2005-08-30,216.78020188,241.23745542,211.22173516,239.01406874
2005-08-31,241.79330209,250.13100217,239.01406874,250.13100217
2005-09-01,241.79330209,252.91023552,241.79330209,250.13100217
2005-09-05,250.13100217,264.02716895,250.13100217,261.2479356
2005-09-06,261.2479356,264.02716895,258.46870224,258.46870224
2005-09-07,264.02716895,264.02716895,261.2479356,264.02716895
2005-09-08,264.02716895,275.14410238,264.02716895,272.36486902
2005-09-09,272.36486902,275.14410238,269.58563567,269.58563567
2005-09-12,272.36486902,275.14410238,269.58563567,275.14410238
2005-09-13,275.14410238,275.14410238,269.58563567,269.58563567
2005-09-14,266.80640231,269.58563567,261.2479356,261.2479356
2005-09-15,261.2479356,261.2479356,252.91023552,261.2479356
2005-09-16,258.46870224,266.80640231,258.46870224,261.2479356
2005-09-19,266.80640231,269.58563567,266.80640231,269.58563567
2005-09-20,272.36486902,272.36486902,266.80640231,269.58563567
2005-09-22,269.58563567,269.58563567,264.02716895,269.58563567
2005-09-23,269.58563567,269.58563567,264.02716895,266.80640231
2005-09-26,266.80640231,269.58563567,266.80640231,269.58563567
2005-09-27,269.58563567,269.58563567,269.58563567,269.58563567
2005-09-28,272.36486902,272.36486902,269.58563567,269.58563567
2005-09-29,269.58563567,289.04026917,269.58563567,286.26103581
2005-09-30,286.26103581,302.93643596,286.26103581,302.93643596
2005-10-03,294.59873588,314.05336939,291.81950253,311.27413603
2005-10-04,311.27413603,319.6118361,308.49490267,314.05336939
2005-10-05,314.05336939,319.6118361,308.49490267,319.6118361
2005-10-06,316.83260274,319.6118361,305.71566931,308.49490267
2005-10-10,311.27413603,311.27413603,302.93643596,308.49490267
2005-10-11,305.71566931,308.49490267,305.71566931,308.49490267
2005-10-12,308.49490267,314.05336939,308.49490267,311.27413603
2005-10-13,311.27413603,314.05336939,311.27413603,314.05336939
2005-10-14,314.05336939,314.05336939,311.27413603,314.05336939
2005-10-17,314.05336939,314.05336939,311.27413603,311.27413603
2005-10-18,314.05336939,314.05336939,311.27413603,311.27413603
2005-10-19,311.27413603,311.27413603,305.71566931,305.71566931
2005-10-20,308.49490267,308.49490267,305.71566931,308.49490267
2005-10-21,305.71566931,305.71566931,305.71566931,305.71566931
2005-10-24,305.71566931,305.71566931,294.59873588,297.37796924
2005-10-25,300.1572026,302.93643596,294.59873588,302.93643596
2005-10-26,300.1572026,302.93643596,297.37796924,300.1572026
2005-10-27,302.93643596,302.93643596,291.81950253,291.81950253
2005-10-28,289.04026917,289.04026917,283.48180245,283.48180245
2005-10-31,286.26103581,286.26103581,286.26103581,286.26103581
2005-11-01,286.26103581,286.26103581,283.48180245,283.48180245
2005-11-09,283.48180245,289.04026917,280.7025691,286.26103581
2005-11-10,286.26103581,286.26103581,277.92333574,277.92333574
2005-11-11,280.7025691,280.7025691,272.36486902,272.36486902
