<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.04	22:00:00	1787.371	1787.675	1785.555	1785.561	2324	0	0
2021.07.04	23:00:00	1785.561	1786.980	1785.559	1786.278	1467	0	62
2021.07.05	00:00:00	1786.281	1786.286	1784.520	1786.002	2076	0	62
2021.07.05	01:00:00	1785.998	1789.936	1785.071	1789.427	4110	0	62
2021.07.05	02:00:00	1789.429	1789.666	1787.314	1788.056	2752	0	62
2021.07.05	03:00:00	1788.043	1788.459	1785.419	1785.516	2273	0	62
2021.07.05	04:00:00	1785.529	1787.967	1785.352	1787.442	1783	0	62
2021.07.05	05:00:00	1787.445	1788.351	1785.977	1786.185	2714	0	62
2021.07.05	06:00:00	1786.181	1791.220	1784.730	1790.545	3649	0	62
2021.07.05	07:00:00	1790.500	1793.096	1789.087	1792.689	3486	0	62
2021.07.05	08:00:00	1792.719	1794.691	1791.062	1792.816	3122	0	62
2021.07.05	09:00:00	1792.778	1793.483	1790.098	1791.435	3140	0	62
2021.07.05	10:00:00	1791.427	1793.276	1790.739	1793.099	2619	0	62
2021.07.05	11:00:00	1793.145	1793.189	1789.244	1789.653	2683	0	62
2021.07.05	12:00:00	1789.656	1792.646	1789.656	1791.880	3027	0	62
2021.07.05	13:00:00	1791.882	1793.192	1791.007	1791.196	3278	0	62
2021.07.05	14:00:00	1791.242	1791.976	1790.221	1791.023	2679	0	62
2021.07.05	15:00:00	1791.025	1791.892	1789.881	1790.892	2300	0	62
2021.07.05	16:00:00	1790.908	1791.906	1790.055	1791.743	1828	0	62
2021.07.05	22:00:00	1791.728	1792.792	1791.394	1791.895	2240	0	0
2021.07.05	23:00:00	1791.895	1792.191	1790.888	1791.318	1266	0	112
2021.07.06	00:00:00	1791.305	1792.809	1791.010	1791.919	2227	0	112
2021.07.06	01:00:00	1791.918	1796.303	1790.904	1795.622	3983	0	62
2021.07.06	02:00:00	1795.604	1799.927	1794.592	1797.574	3607	0	62
2021.07.06	03:00:00	1797.571	1799.137	1796.835	1797.409	2649	0	62
2021.07.06	04:00:00	1797.409	1800.776	1797.409	1800.776	2733	0	62
2021.07.06	05:00:00	1800.787	1804.278	1800.131	1803.973	3250	0	62
2021.07.06	06:00:00	1804.021	1806.586	1804.021	1804.934	3927	0	112
2021.07.06	07:00:00	1804.933	1809.156	1804.850	1807.387	4056	0	63
2021.07.06	08:00:00	1807.424	1807.816	1802.377	1805.891	4001	0	112
2021.07.06	09:00:00	1805.941	1808.495	1805.612	1807.457	3516	0	112
2021.07.06	10:00:00	1807.474	1809.269	1806.288	1807.417	3095	0	112
2021.07.06	11:00:00	1807.465	1810.853	1806.847	1809.915	3445	0	112
2021.07.06	12:00:00	1809.866	1815.054	1807.608	1809.318	5435	0	112
2021.07.06	13:00:00	1809.297	1811.462	1806.513	1810.691	6811	0	112
2021.07.06	14:00:00	1810.738	1812.588	1803.909	1804.664	8023	0	112
2021.07.06	15:00:00	1804.614	1805.673	1795.826	1796.735	6105	0	62
2021.07.06	16:00:00	1796.688	1796.733	1790.045	1794.287	6673	0	62
2021.07.06	17:00:00	1794.264	1796.365	1793.044	1795.546	3960	0	62
2021.07.06	18:00:00	1795.516	1797.509	1794.333	1796.775	3345	0	62
2021.07.06	19:00:00	1796.792	1797.684	1796.371	1796.633	2761	0	62
